LINE,STATION,YEAR,SURVEY_DATE_USED,WHETHER_SURVEYED,IN_0200_0600,OUT_0200_0600,IN_0600_0930,OUT_0600_0930,IN_0930_1500,OUT_0930_1500,IN_1500_1830,OUT_1500_1830,IN_1830_0200,OUT_1830_0200,IN_24_HOURS,OUT_24_HOURS,RANK,STATION_SORT_ID
Carlingford,Carlingford,2006,28/07/2005,No,10,0,250,120,100,60,110,210,10,80,480,480,188,1006
Inner West,Macdonaldtown,2006,26/10/2005,No,10,10,390,140,250,250,120,280,50,140,820,820,163,1101
Inner West,Newtown,2006,3/05/2005,No,40,40,1730,730,1210,980,830,1480,480,1070,4290,4290,47,1102
Inner West,Stanmore,2006,4/05/2005,No,20,20,1370,680,450,430,790,1080,80,480,2710,2710,73,1103
Inner West,Petersham,2006,10/05/2005,No,30,30,1270,950,880,720,930,1160,180,430,3290,3290,62,1104
Inner West,Lewisham,2006,10/05/2005,No,10,10,750,350,370,330,390,680,80,220,1600,1600,115,1105
Inner West,Summer Hill,2006,12/05/2005,No,30,20,1540,280,540,480,370,1320,80,470,2560,2560,78,1106
Inner West,Ashfield,2006,8/06/2006,Yes,90,90,4590,1370,2620,2020,2050,4070,580,2380,9930,9930,19,1107
Inner West,Croydon,2006,5/05/2005,No,10,20,1240,540,280,330,540,890,70,370,2140,2140,86,1108
Inner West,Burwood,2006,31/05/2006,Yes,100,100,3670,2150,2980,2760,3210,4050,680,1580,10640,10640,16,1109
Inner West,Strathfield,2006,18/05/2005,No,160,160,7030,3670,4750,3760,5080,7070,1580,3940,18600,18600,7,1110
Inner West,Homebush,2006,24/05/2006,Yes,10,10,590,340,380,360,380,540,70,180,1430,1430,127,1111
Northern via Strathfield,North Strathfield,2006,8/04/2003,No,10,20,1030,360,360,260,470,970,70,340,1940,1940,96,1201
Northern via Strathfield,Concord West,2006,24/05/2006,Yes,20,20,950,400,680,680,520,920,140,290,2310,2310,84,1202
Northern via Strathfield,Rhodes,2006,1/11/2005,No,20,20,370,840,150,740,1190,340,330,110,2060,2060,91,1203
Northern via Strathfield,Meadowbank,2006,9/04/2003,No,30,30,1190,830,940,570,610,1300,260,310,3030,3030,68,1204
Northern via Strathfield,West Ryde,2006,3/04/2003,No,90,50,2400,920,1120,1070,1170,2270,350,820,5130,5130,44,1205
Northern via Strathfield,Denistone,2006,18/03/2003,No,0,0,260,20,60,50,30,220,10,70,360,360,200,1206
Northern via Strathfield,Eastwood,2006,10/04/2003,No,100,50,3350,760,1450,1230,980,2800,280,1300,6160,6160,39,1207
Northern via Strathfield,Epping,2006,11/03/2004,No,130,70,4110,1690,1460,1620,1890,3650,460,1020,8050,8050,27,1208
Northern via Macquarie Park,Cheltenham,2006,1/04/2003,No,10,10,600,510,230,130,440,500,20,160,1300,1300,134,1304
Northern via Macquarie Park,Beecroft,2006,27/03/2003,No,30,20,1550,110,250,270,180,1270,40,390,2050,2050,93,1305
Northern via Macquarie Park,Pennant Hills,2006,8/06/2006,Yes,50,30,2100,640,550,500,920,1970,90,580,3710,3710,54,1306
Northern via Macquarie Park,Thornleigh,2006,25/03/2003,No,40,20,1160,140,380,330,220,1020,60,350,1860,1860,98,1307
Northern via Macquarie Park,Normanhurst,2006,26/03/2003,No,10,10,610,750,280,200,690,490,20,160,1610,1610,113,1308
North Shore,Milsons Point,2006,24/05/2005,No,60,60,1870,2270,1310,1290,2490,1690,510,920,6240,6240,37,1401
North Shore,North Sydney,2006,30/05/2006,Yes,220,210,1790,15640,3830,3820,14540,2440,2820,1070,23200,23200,5,1402
North Shore,Waverton,2006,28/02/2006,Yes,20,20,1080,200,370,270,280,800,70,520,1820,1820,102,1403
North Shore,Wollstonecraft,2006,28/02/2006,Yes,20,20,1370,100,410,260,190,1040,70,630,2060,2060,91,1404
North Shore,St Leonards,2006,23/05/2006,Yes,130,120,2640,7150,2390,2390,6730,2490,1350,1090,13240,13240,14,1405
North Shore,Artarmon,2006,19/05/2005,No,70,40,2340,630,780,940,840,1810,250,860,4280,4280,48,1406
North Shore,Chatswood,2006,19/05/2005,No,160,150,3830,6110,4210,3920,7240,4930,1660,1990,17100,17100,9,1407
North Shore,Roseville,2006,25/05/2005,No,20,20,1520,280,480,450,410,1220,140,600,2570,2570,77,1408
North Shore,Lindfield,2006,24/05/2005,No,30,30,2100,520,930,1000,690,1860,180,530,3930,3930,52,1409
North Shore,Killara,2006,3/06/2004,No,20,20,1720,210,360,370,250,1410,40,380,2390,2390,82,1410
North Shore,Gordon,2006,3/06/2004,No,40,40,2990,930,840,760,1210,2540,240,1040,5320,5320,42,1411
North Shore,Pymble,2006,25/05/2005,No,20,20,1270,760,430,300,800,1290,120,270,2640,2640,75,1412
North Shore,Turramurra,2006,25/05/2005,No,30,30,2280,330,640,640,430,1920,90,570,3470,3470,59,1413
North Shore,Warrawee,2006,27/10/2005,No,10,10,460,440,100,80,500,380,10,160,1080,1080,143,1414
North Shore,Wahroonga,2006,26/10/2005,No,20,10,1170,480,280,290,560,900,40,390,2070,2070,90,1415
North Shore,Waitara,2006,25/05/2005,No,50,20,1630,1060,650,430,970,1380,70,480,3370,3370,61,1416
North Shore,Hornsby,2006,19/05/2005,No,190,100,4930,2360,2490,2540,3020,4470,860,2020,11490,11490,15,1417
North Shore,Asquith,2006,18/05/2005,No,20,10,570,630,310,210,560,500,40,160,1500,1500,122,1418
North Shore,Mount Colah,2006,25/10/2005,No,20,10,510,10,110,80,20,420,0,150,660,660,174,1419
North Shore,Mount Kuring-gai,2006,20/03/2003,No,0,0,200,20,40,40,30,180,10,40,280,280,211,1420
North Shore,Berowra,2006,30/04/2002,No,20,10,1270,80,140,90,90,960,20,410,1540,1540,121,1421
South Coast,Helensburgh,2006,2/03/2000,No,10,10,690,20,90,70,30,620,10,120,830,830,162,1501
South Coast,Otford,2006,26/07/2005,No,0,0,40,0,10,0,0,40,0,10,50,50,257,1502
South Coast,Stanwell Park,2006,26/07/2005,No,0,0,140,10,20,20,10,130,0,20,170,170,233,1503
South Coast,Coalcliff,2006,21/09/2005,No,0,0,10,0,10,10,10,10,0,0,30,30,269,1504
South Coast,Scarborough,2006,21/09/2005,No,0,0,20,0,0,0,0,20,0,0,20,20,275,1505
South Coast,Wombarra,2006,1/09/2005,No,0,0,30,0,10,0,0,20,0,10,40,40,261,1506
South Coast,Coledale,2006,1/09/2005,No,0,0,30,0,10,10,0,20,0,10,40,40,261,1507
South Coast,Austinmer,2006,1/09/2005,No,10,0,120,0,20,10,0,100,0,30,150,150,236,1508
South Coast,Thirroul,2006,19/06/2001,No,20,10,460,50,160,130,70,410,20,140,730,730,170,1509
South Coast,Bulli,2006,1/09/1994,No,20,0,190,240,150,130,220,180,20,60,600,600,178,1510
South Coast,Woonona,2006,23/08/1995,No,10,0,190,60,80,80,70,170,10,60,360,360,200,1511
South Coast,Bellambi,2006,23/08/1995,No,10,0,180,130,90,70,120,150,10,60,410,410,193,1512
South Coast,Corrimal,2006,23/08/1995,No,20,0,370,70,120,100,90,310,20,110,620,620,177,1513
South Coast,Towradgi,2006,23/08/1995,No,10,0,120,30,60,50,40,110,10,40,240,240,219,1514
South Coast,Fairy Meadow,2006,1/09/1994,No,10,0,180,30,60,60,40,160,10,60,300,300,208,1515
South Coast,North Wollongong,2006,24/08/2004,No,60,10,240,910,290,270,670,240,330,140,1590,1590,117,1516
South Coast,Wollongong,2006,13/06/2001,No,90,20,810,410,470,420,570,790,150,450,2090,2090,89,1517
South Coast,Coniston,2006,28/10/2004,No,30,10,220,110,160,170,130,220,30,70,570,570,183,1518
South Coast,Lysaghts,2006,22/06/2005,No,0,0,0,10,0,0,10,0,0,0,20,20,275,1519
South Coast,Cringila,2006,22/06/2005,No,0,0,0,10,0,0,10,10,10,0,20,20,275,1520
South Coast,Port Kembla North,2006,22/06/2005,No,0,0,10,20,10,20,30,30,10,0,60,60,253,1521
South Coast,Port Kembla,2006,22/06/2005,No,10,0,60,60,60,40,60,90,30,20,220,220,226,1522
South Coast,Unanderra,2006,21/09/2004,No,50,10,270,80,140,150,100,260,30,100,590,590,181,1523
South Coast,Kembla Grange Racecourse,2006,15/02/1996,No,0,0,0,0,0,0,0,0,0,0,0,0,293,1524
South Coast,Dapto,2006,20/08/1996,No,30,10,520,100,150,140,90,390,50,200,840,840,160,1525
South Coast,Albion Park,2006,20/03/2001,No,10,0,160,30,100,90,90,160,20,90,380,380,197,1526
South Coast,Oak Flats,2006,20/03/2001,No,30,10,370,130,190,180,190,240,60,290,840,840,160,1527
South Coast,Dunmore (Shellharbour),2006,20/03/2001,No,0,0,20,10,0,0,0,10,0,0,20,20,275,1528
South Coast,Minnamurra,2006,20/03/2001,No,10,0,80,10,30,30,20,80,10,20,150,150,236,1529
South Coast,Bombo,2006,20/03/2001,No,0,0,10,0,10,0,0,20,10,0,30,30,269,1530
South Coast,Kiama,2006,20/03/2001,No,20,0,140,40,200,190,80,140,40,100,480,480,188,1531
South Coast,Gerringong,2006,20/03/2001,No,0,0,30,10,20,10,10,30,0,10,60,60,253,1532
South Coast,Berry,2006,20/03/2001,No,0,0,40,10,30,30,20,50,10,10,100,100,246,1533
South Coast,Bomaderry (Nowra),2006,20/03/2001,No,20,0,140,20,150,140,50,140,10,70,370,370,198,1534
Southern Highlands,Menangle Park,2006,28/03/2006-9/05/2006,Yes,0,0,10,0,0,0,0,10,0,0,10,10,283,1601
Southern Highlands,Menangle,2006,28/03/2006-9/05/2006,Yes,0,0,10,0,0,0,0,10,0,0,10,10,283,1602
Southern Highlands,Douglas Park,2006,28/03/2006-9/05/2006,Yes,0,0,30,0,0,0,0,20,0,10,30,30,269,1603
Southern Highlands,Picton,2006,28/03/2006-9/05/2006,Yes,10,0,180,20,20,30,10,100,10,80,230,230,221,1604
Southern Highlands,Tahmoor,2006,28/03/2006-9/05/2006,Yes,10,10,80,10,40,20,20,70,10,50,160,160,234,1605
Southern Highlands,Bargo,2006,28/03/2006-9/05/2006,Yes,10,0,40,0,10,10,10,40,10,20,80,80,250,1606
Southern Highlands,Yerrinbool,2006,28/03/2006-9/05/2006,Yes,0,0,30,0,0,0,0,20,0,10,30,30,269,1607
Southern Highlands,Mittagong,2006,28/03/2006-9/05/2006,Yes,0,0,80,30,40,20,20,70,10,40,150,150,236,1608
Southern Highlands,Bowral,2006,28/03/2006-9/05/2006,Yes,0,0,100,40,30,60,70,60,10,50,210,210,229,1609
Southern Highlands,Burradoo,2006,28/03/2006-9/05/2006,Yes,0,0,10,0,0,0,0,0,0,10,10,10,283,1610
Southern Highlands,Moss Vale,2006,28/03/2006-9/05/2006,Yes,30,0,60,40,50,80,30,40,10,30,180,180,231,1611
Southern Highlands,Exeter,2006,28/03/2006-9/05/2006,Yes,0,0,0,0,0,0,0,0,0,0,0,0,293,1612
Southern Highlands,Bundanoon,2006,28/03/2006-9/05/2006,Yes,0,0,10,0,10,0,0,20,0,0,20,20,275,1613
Southern Highlands,Penrose,2006,28/03/2006-9/05/2006,Yes,0,0,0,0,0,0,0,0,0,0,0,0,293,1614
Southern Highlands,Wingello,2006,28/03/2006-9/05/2006,Yes,0,0,0,0,0,0,0,0,0,0,0,0,293,1615
Southern Highlands,Tallong,2006,28/03/2006-9/05/2006,Yes,0,0,0,0,0,0,0,0,0,0,0,0,293,1616
Southern Highlands,Marulan,2006,28/03/2006-9/05/2006,Yes,0,0,10,0,0,0,0,0,0,10,10,10,283,1617
Southern Highlands,Goulburn,2006,28/03/2006-9/05/2006,Yes,10,0,40,0,20,10,0,0,0,60,70,70,252,1618
Blue Mountains,Lapstone,2006,26/08/2004,No,10,0,110,0,20,10,0,100,0,30,140,140,239,1701
Blue Mountains,Glenbrook,2006,25/08/2004,No,40,10,480,50,120,80,90,450,10,160,740,740,168,1702
Blue Mountains,Blaxland,2006,15/09/2004,No,70,10,630,60,100,90,80,550,30,200,910,910,152,1703
Blue Mountains,Warrimoo,2006,21/09/2004,No,10,0,80,0,10,10,0,70,0,30,100,100,246,1704
Blue Mountains,Valley Heights,2006,16/09/2004,No,10,0,90,10,20,20,10,80,0,30,130,130,240,1705
Blue Mountains,Springwood,2006,30/05/2001,No,180,0,1120,240,280,260,310,1060,70,390,1960,1960,95,1706
Blue Mountains,Faulconbridge,2006,4-7&15/04/2005,No,30,0,210,10,40,40,20,190,0,60,300,300,208,1707
Blue Mountains,Linden,2006,4-7&15/04/2005,No,0,0,10,0,10,0,0,10,0,0,20,20,275,1708
Blue Mountains,Woodford,2006,4-7&15/04/2005,No,20,0,160,10,30,30,20,150,0,40,230,230,221,1709
Blue Mountains,Hazelbrook,2006,4-7&15/04/2005,No,40,0,310,10,70,70,20,270,10,80,450,450,190,1710
Blue Mountains,Lawson,2006,4-7&15/04/2005,No,20,0,150,30,50,60,40,140,10,40,270,270,213,1711
Blue Mountains,Bullaburra,2006,4-7&15/04/2005,No,10,0,110,0,30,20,10,100,0,30,160,160,234,1712
Blue Mountains,Wentworth Falls,2006,4-7&15/04/2005,No,50,10,270,260,150,160,270,230,20,100,760,760,167,1713
Blue Mountains,Leura,2006,4-7&15/04/2005,No,30,0,160,50,70,110,70,140,20,50,350,350,203,1714
Blue Mountains,Katoomba,2006,4-7&15/04/2005,No,50,10,310,170,500,580,380,380,90,180,1330,1330,132,1715
Blue Mountains,Medlow Bath,2006,4-7&15/04/2005,No,0,0,10,0,20,10,0,10,0,0,30,30,269,1716
Blue Mountains,Blackheath,2006,4-7&15/04/2005,No,30,0,160,10,70,80,10,140,0,50,270,270,213,1717
Blue Mountains,Mount Victoria,2006,4-7&15/04/2005,No,50,0,90,20,40,30,50,100,0,70,230,230,221,1718
Blue Mountains,Bell,2006,4-7&15/04/2005,No,0,0,0,0,0,0,0,0,0,0,0,0,293,1719
Blue Mountains,Zig Zag,2006,4-7&15/04/2005,No,0,0,0,0,0,0,0,0,0,0,0,0,293,1720
Blue Mountains,Lithgow,2006,4-7&15/04/2005,No,10,0,130,30,150,110,30,140,10,60,330,330,205,1721
Central Coast,Cowan,2006,31/08/1993,No,0,0,60,0,0,0,0,50,0,10,60,60,253,1801
Central Coast,Hawkesbury River,2006,17/08/1993,No,20,0,130,30,40,40,30,130,10,30,230,230,221,1802
Central Coast,Wondabyne,2006,23/08/1995,No,0,0,10,0,0,0,0,10,0,0,10,10,283,1803
Central Coast,Woy Woy,2006,1/09/2004,No,560,40,2630,200,500,590,240,2220,90,980,4020,4020,51,1804
Central Coast,Koolewong,2006,23/08/1995,No,10,0,90,0,10,10,0,80,0,30,110,110,244,1805
Central Coast,Tascott,2006,23/08/1995,No,20,0,160,10,30,30,10,140,0,50,220,220,226,1806
Central Coast,Point Clare,2006,17/08/1993,No,20,0,160,20,30,30,20,140,0,40,230,230,221,1807
Central Coast,Gosford,2006,15/09/2004,No,500,50,2530,1010,1630,1130,1240,2300,120,1510,6020,6020,40,1808
Central Coast,Narara,2006,23/08/1995,No,60,10,440,20,90,80,30,380,10,140,630,630,176,1809
Central Coast,Niagara Park,2006,8/09/1994,No,20,0,170,20,40,40,20,160,10,50,260,260,215,1810
Central Coast,Lisarow,2006,23/08/1995,No,10,0,120,110,100,90,110,120,20,40,360,360,200,1811
Central Coast,Ourimbah,2006,23/08/1995,No,30,0,210,80,120,130,100,200,30,60,490,490,187,1812
Central Coast,Tuggerah,2006,1/03/2000,No,120,10,900,110,240,250,140,790,30,280,1430,1430,127,1813
Central Coast,Wyong,2006,16/09/2004,No,160,20,760,180,370,710,460,680,90,250,1840,1840,101,1814
Newcastle,Warnervale,2006,2/11/2005,No,20,0,170,30,40,50,40,150,10,40,280,280,211,1901
Newcastle,Wyee,2006,3/11/2005,No,30,0,230,10,80,60,10,220,0,60,350,350,203,1902
Newcastle,Morisset,2006,2/03/2000,No,50,10,560,90,140,160,100,490,20,150,870,870,159,1903
Newcastle,Dora Creek,2006,Estimate 2004,No,0,0,70,10,30,20,20,60,0,20,120,120,241,1904
Newcastle,Awaba,2006,Estimate 2004,No,10,0,20,10,10,20,10,20,0,10,50,50,257,1905
Newcastle,Fassifern,2006,22/07/2004,No,20,0,270,60,60,60,80,240,10,70,440,440,191,1906
Newcastle,Booragul,2006,18/07/1995,No,0,0,30,30,40,50,40,30,10,10,120,120,241,1907
Newcastle,Teralba,2006,18/07/1995,No,0,0,40,10,10,10,10,30,0,10,60,60,253,1908
Newcastle,Cockle Creek,2006,18/07/1995,No,0,0,10,10,20,20,10,10,0,0,40,40,261,1909
Newcastle,Cardiff,2006,21/07/2004,No,50,10,260,90,140,90,100,300,40,110,590,590,181,1910
Newcastle,Kotara,2006,18/07/1995,No,0,0,10,10,20,20,10,10,0,10,40,40,261,1911
Newcastle,Adamstown,2006,18/07/1995,No,0,0,20,20,30,30,20,20,10,10,80,80,250,1912
Newcastle,Broadmeadow,2006,20/07/2004,No,60,10,290,350,220,180,330,280,30,110,930,930,150,1913
Newcastle,Hamilton,2006,19/06/2003,No,30,10,180,230,340,280,270,250,90,140,910,910,152,1914
Newcastle,Wickham,2006,9/12/2003,No,10,0,30,170,120,110,190,80,20,10,370,370,198,1915
Newcastle,Civic,2006,19/06/2003,No,30,10,80,340,280,270,390,190,40,20,820,820,163,1916
Newcastle,Newcastle,2006,19/06/2003,No,50,20,240,300,660,790,400,190,70,130,1420,1420,129,1917
Hunter,Waratah,2006,16/10/2001,No,0,0,100,100,150,150,120,120,40,30,410,410,193,2001
Hunter,Warabrook (University),2006,9/03/2005,No,10,10,50,350,200,280,310,100,210,30,780,780,165,2002
Hunter,Sandgate,2006,16/10/2001,No,0,0,10,10,10,10,20,20,0,0,40,40,261,2003
Hunter,Hexham,2006,16/10/2001,No,0,0,10,20,10,10,20,10,0,0,40,40,261,2004
Hunter,Tarro,2006,16/10/2001,No,0,0,20,0,0,10,0,10,0,0,20,20,275,2005
Hunter,Beresfield,2006,16/10/2001,No,0,0,180,80,140,110,80,180,10,40,410,410,193,2006
Hunter,Thornton,2006,16/10/2001,No,0,0,180,30,70,100,60,170,10,20,320,320,206,2007
Hunter,Metford,2006,16/10/2001,No,0,0,120,20,60,70,30,110,10,10,220,220,226,2008
Hunter,Victoria Street,2006,16/10/2001,No,0,0,200,60,130,130,80,190,20,60,430,430,192,2009
Hunter,East Maitland,2006,16/10/2001,No,0,0,20,50,50,40,50,20,0,10,120,120,241,2010
Hunter,High Street,2006,16/10/2001,No,0,0,30,40,40,40,30,40,10,0,110,110,244,2011
Hunter,Maitland,2006,16/10/2001,No,10,10,210,110,200,220,160,200,20,50,600,600,178,2012
Hunter,Telarah,2006,24/08/2004,No,0,0,110,40,70,60,50,130,20,30,250,250,216,2013
Hunter,Mindaribba,2006,24/08/2004,No,0,0,0,0,0,0,0,0,0,0,0,0,293,2014
Hunter,Paterson,2006,24/08/2004,No,0,0,10,0,0,0,0,10,0,0,10,10,283,2015
Hunter,Martins Creek,2006,24/08/2004,No,0,0,10,0,0,0,0,0,0,0,10,10,283,2016
Hunter,Hilldale,2006,24/08/2004,No,0,0,0,0,0,0,0,0,0,0,0,0,293,2017
Hunter,Wallarobba,2006,24/08/2004,No,0,0,0,0,0,0,0,0,0,0,0,0,293,2018
Hunter,Wirragulla,2006,24/08/2004,No,0,0,0,0,0,0,0,0,0,0,0,0,293,2019
Hunter,Dungog,2006,24/08/2004,No,0,0,20,0,10,20,10,20,0,0,40,40,261,2020
Hunter,Lochinvar,2006,24/08/2004,No,0,0,10,0,0,0,0,0,0,0,10,10,283,2021
Hunter,Greta,2006,24/08/2004,No,0,0,0,0,0,0,0,0,0,0,0,0,293,2023
Hunter,Branxton,2006,24/08/2004,No,0,0,20,0,0,0,0,10,0,10,20,20,275,2024
Hunter,Singleton,2006,24/08/2004,No,0,0,30,10,0,0,10,30,10,10,50,50,257,2026
Hunter,Muswellbrook,2006,24/08/2004,No,0,0,10,0,30,10,0,40,10,10,50,50,257,2027
Hunter,Aberdeen,2006,24/08/2004,No,0,0,0,0,0,0,0,0,0,10,10,10,283,2028
Hunter,Scone,2006,24/08/2004,No,10,0,0,0,0,0,0,10,0,0,10,10,283,2029
CBD,Central,2005,31/05/2005,Yes,700,690,7540,33030,16450,23550,35710,11260,12620,4480,73020,73020,1,101
CBD,Town Hall,2005,8/06/2005,Yes,670,660,5090,35810,13980,18270,36850,10120,12230,3970,68820,68820,2,102
CBD,Wynyard,2005,26/05/2005,Yes,500,450,3160,33710,8000,9140,30380,4860,8070,1940,50110,50110,3,103
CBD,Circular Quay,2005,1/06/2005,Yes,140,140,1420,6550,3350,4840,7540,2110,1940,760,14390,14390,12,104
CBD,St James,2005,7/06/2005,Yes,70,70,140,4870,1590,2230,5210,530,830,150,7840,7840,28,105
CBD,Museum,2005,2/06/2005,Yes,80,70,410,5080,1410,1710,5050,750,1030,360,7980,7980,27,106
CBD,Martin Place,2005,17/05/2005,Yes,170,150,490,12700,2150,2770,11560,970,2560,340,16930,16930,9,107
CBD,Redfern,2005,9/06/2005,Yes,160,150,2470,7050,4040,4950,7290,2450,1860,1210,15820,15820,10,108
Eastern Suburbs,Kings Cross,2005,13/05/2004,No,100,90,2750,2980,2670,2170,3330,3010,1240,1840,10090,10090,19,201
Eastern Suburbs,Edgecliff,2005,20/03/2003,No,60,60,2670,1670,1590,1420,1740,2200,400,1100,6460,6460,35,202
Eastern Suburbs,Bondi Junction,2005,17/05/2005,Yes,170,170,8230,3260,3740,4010,4200,7070,1400,3230,17740,17740,7,203
Illawarra,Sydenham,2005,18/03/2003,No,40,50,1950,1560,820,780,1530,1780,360,540,4700,4700,46,301
Illawarra,Tempe,2005,20/03/2003,No,10,10,490,180,260,230,220,440,50,160,1030,1030,145,302
Illawarra,Wolli Creek,2005,19/10/2005,Yes,10,10,670,190,290,170,280,530,80,430,1330,1330,134,303
Illawarra,Arncliffe,2005,20/06/2001,No,10,10,850,230,330,370,280,740,60,190,1530,1530,120,304
Illawarra,Banksia,2005,31/03/2003,No,10,10,540,80,190,170,120,480,30,160,890,890,156,305
Illawarra,Rockdale,2005,13/05/2004,No,80,80,4290,820,2690,2220,1340,3920,420,1770,8820,8820,22,306
Illawarra,Kogarah,2005,19/05/2004,No,90,90,3700,2920,2910,2070,3120,3570,460,1630,10280,10280,17,307
Illawarra,Carlton,2005,13/05/2004,No,10,10,840,80,220,210,170,690,20,280,1260,1260,137,308
Illawarra,Allawah,2005,1/04/2003,No,10,10,940,230,290,230,260,790,30,280,1530,1530,120,309
Illawarra,Hurstville,2005,13/05/2004,No,120,120,5800,1810,4260,3680,2670,5930,510,1820,13360,13360,13,310
Illawarra,Penshurst,2005,12/05/2005,Yes,30,20,1950,380,550,480,440,1620,70,520,3040,3040,66,311
Illawarra,Mortdale,2005,19/05/2004,No,40,30,2420,370,1050,690,480,2120,120,900,4110,4110,50,312
Illawarra,Oatley,2005,2/04/2003,No,20,10,960,390,310,210,340,870,30,170,1660,1660,112,313
Illawarra,Como,2005,13/05/2004,No,10,10,710,20,130,90,30,610,10,160,890,890,156,314
Illawarra,Jannali,2005,8/04/2003,No,30,20,2050,200,520,420,270,1690,50,580,2920,2920,70,315
Illawarra,Sutherland,2005,9/04/2003,No,120,60,4530,1100,1370,1190,1130,3820,250,1220,7400,7400,29,316
Illawarra,Kirrawee,2005,3/05/2005,Yes,20,10,640,150,270,240,200,560,50,200,1180,1180,138,317
Illawarra,Gymea,2005,26/04/2005,Yes,30,10,930,230,410,440,190,650,50,270,1610,1610,113,318
Illawarra,Miranda,2005,27/04/2005,Yes,50,30,1130,620,970,1050,980,1250,130,330,3260,3260,62,319
Illawarra,Caringbah,2005,28/04/2005,Yes,40,20,1340,860,730,720,770,930,120,460,3000,3000,68,320
Illawarra,Woolooware,2005,10/06/2004,No,10,10,480,160,140,120,160,400,20,120,810,810,164,321
Illawarra,Cronulla,2005,8/06/2004,No,30,20,990,190,580,470,260,950,60,300,1920,1920,97,322
Illawarra,Loftus,2005,1/06/2004,No,10,10,430,140,240,230,180,400,50,140,910,910,154,323
Illawarra,Engadine,2005,1/06/2004,No,10,10,990,210,300,240,240,820,40,290,1580,1580,115,324
Illawarra,Heathcote,2005,1/06/2004,No,10,10,410,500,190,110,410,310,10,100,1030,1030,145,325
Illawarra,Waterfall,2005,12/05/2005,Yes,0,0,180,20,50,40,30,150,10,50,270,270,213,326
Airport,Green Square,2005,2-4/08/2005,Yes,0,0,180,640,170,150,640,190,70,70,1060,1060,144,401
Airport,Mascot,2005,2-4/08/2005,Yes,0,0,280,1210,280,260,1160,310,110,60,1830,1830,103,402
Airport,Domestic Airport,2005,2-4/08/2005,Yes,0,0,540,990,660,720,1030,750,350,120,2580,2580,76,403
Airport,International Airport,2005,2-4/08/2005,Yes,0,0,400,610,440,490,400,280,220,90,1460,1460,127,404
East Hills,Turrella,2005,19/03/2003,No,0,0,250,90,150,150,120,240,30,70,550,550,185,501
East Hills,Bardwell Park,2005,25/03/2003,No,10,10,620,40,160,130,80,530,20,180,890,890,156,502
East Hills,Bexley North,2005,26/03/2003,No,10,10,570,50,180,170,110,540,30,130,900,900,155,503
East Hills,Kingsgrove,2005,12/05/2004,No,20,20,1060,810,380,350,910,1020,140,310,2510,2510,78,504
East Hills,Beverly Hills,2005,12/05/2004,No,10,10,880,310,300,220,310,740,30,250,1530,1530,120,505
East Hills,Narwee,2005,12/05/2004,No,10,10,890,60,300,240,100,740,20,260,1320,1320,135,506
East Hills,Riverwood,2005,26/05/2004,No,50,30,2060,230,610,700,320,1710,80,470,3120,3120,65,507
East Hills,Padstow,2005,25/10/2005,Yes,60,30,2450,320,500,530,420,2060,70,550,3500,3500,59,508
East Hills,Revesby,2005,12/05/2005,Yes,20,20,940,170,480,450,380,900,90,380,1910,1910,99,509
East Hills,Panania,2005,18/03/2003,No,10,10,650,500,320,220,470,560,40,200,1490,1490,125,510
East Hills,East Hills,2005,12/05/2005,Yes,10,10,880,160,320,300,220,760,50,260,1480,1480,126,511
East Hills,Holsworthy,2005,12/05/2004,No,30,20,1980,310,520,430,370,1640,50,540,2950,2950,69,512
East Hills,Glenfield,2005,1/06/2005,Yes,80,40,2480,900,1230,820,790,2280,170,710,4750,4750,45,513
East Hills,Macquarie Fields,2005,1/04/2003,No,20,10,800,120,300,220,160,730,60,250,1340,1340,133,514
East Hills,Ingleburn,2005,18/05/2005,Yes,110,30,1810,760,980,960,880,1650,180,570,3960,3960,53,515
East Hills,Minto,2005,16/09/2004,No,70,30,2270,340,670,500,500,2120,130,640,3640,3640,56,516
East Hills,Leumeah,2005,2/06/2005,Yes,70,30,2020,640,520,400,730,1690,50,630,3390,3390,60,517
East Hills,Campbelltown,2005,2/04/2003,No,120,60,3630,1010,1550,1430,1370,3220,320,1260,6990,6990,31,518
East Hills,Macarthur,2005,31/05/2005,Yes,20,10,400,270,290,330,310,350,50,110,1070,1070,143,519
Bankstown,Erskineville,2005,26/05/2004,No,10,10,800,260,260,260,210,570,90,280,1370,1370,131,601
Bankstown,St Peters,2005,11/05/2004,No,30,30,1160,670,480,740,950,1050,260,390,2880,2880,71,602
Bankstown,Marrickville,2005,11/05/2004,No,30,30,1080,490,920,780,800,1220,180,480,3010,3010,67,603
Bankstown,Dulwich Hill,2005,11/05/2004,No,10,10,890,140,370,290,230,840,60,290,1560,1560,117,604
Bankstown,Hurlstone Park,2005,18/03/2003,No,10,10,740,70,210,180,110,620,30,220,1100,1100,140,605
Bankstown,Canterbury,2005,27/10/2005,Yes,20,10,610,530,330,320,680,640,60,200,1700,1700,108,606
Bankstown,Campsie,2005,11/05/2004,No,50,50,2710,630,1990,1950,1090,2650,370,940,6210,6210,39,607
Bankstown,Belmore,2005,11/05/2004,No,30,20,1050,310,490,510,510,1140,40,150,2120,2120,87,608
Bankstown,Lakemba,2005,11/05/2004,No,50,30,1490,510,930,840,1010,1750,110,480,3590,3590,57,609
